,,,,,,,,
CONSEJO NACIONAL DE FIJACIÓN Y REVISIÓN DE PRECIOS DE MEDICAMENTOS DE USO Y CONSUMO HUMANO ,,,,,,,,
CONSOLIDADO DE PRECIOS TECHO ACTUALIZADO,,,,,,,,
,,,,,,,,
Resolución,Item,Sesión de Consejo,Principio Activo,Primer Nivel de Desagregación,Forma Farmacéutica,Concentración ,Presentación Comercial , Precio Techo (USD )  
STFP-008-708-2021,,708,DULAGLUTIDA,LÍQUIDO PARENTERAL,LPA-02,"1,5 mg/0,5 ml",-,$23.9015
Resolución 10 (Anexo A),688,,DULOXETINA,SÓLIDO ORAL,TABLETA RECUBIERTA,60 mg,-,$1.9600
STFP-007-694-2021,,694,DULOXETINA,SÓLIDO ORAL,(*),30 mg, -,$1.6747
STFP-003-707-2021,,707,DUPILUMAB,LÍQUIDO PARENTERAL,LPA-02,300 mg/2 ml,-,$520.0087
STFP-002-761-2025,,761,DURVALUMAB,LÍQUIDO PARENTERAL,LPA-02,50 mg/mL,-,$297.3000
Resolución 10 (Anexo A),689,,DUTASTERIDA,SÓLIDO ORAL,SOR-01,"0,5 mg",-,$2.5100
STFP-011-684-2018,,684,DUTASTERIDA + TAMSULOSINA,SÓLIDO ORAL,SOR-02,"0,5 mg + 0,4 mg",-,$1.3300
Resolución 10 (Anexo A),691,,EFAVIRENZ,SÓLIDO ORAL,SOR-01,200 mg,-,$1.8900
Resolución 10 (Anexo A),692,,EFAVIRENZ,SÓLIDO ORAL,SOR-01,50 mg,-,$0.4700
Resolución 10 (Anexo A),693,,EFAVIRENZ,SÓLIDO ORAL,SOR-01,600 mg,-,$4.4000
Resolución 10 (Anexo A),694,,EFEDRINA,LÍQUIDO PARENTERAL,LPA-02,60 mg / mL,-,$0.6200
Resolución 10 (Anexo A),695,,ELECTROLITOS CON CARBOHIDRATOS (DEXTROSA EN SOLUCIÓN SALINA),LÍQUIDO PARENTERAL,LPA-02,"5% + 0,9 %",100 ml,$1.6500
Resolución 10 (Anexo A),698,,ELECTROLITOS CON CARBOHIDRATOS (DEXTROSA EN SOLUCIÓN SALINA),LÍQUIDO PARENTERAL,LPA-02,"5% + 0,9 %",1000 ml,$1.5800
Resolución 10 (Anexo A),696,,ELECTROLITOS CON CARBOHIDRATOS (DEXTROSA EN SOLUCIÓN SALINA),LÍQUIDO PARENTERAL,LPA-02,"5% + 0,9 %",250 ml,$2.9700
Resolución 10 (Anexo A),697,,ELECTROLITOS CON CARBOHIDRATOS (DEXTROSA EN SOLUCIÓN SALINA),LÍQUIDO PARENTERAL,LPA-02,"5% + 0,9 %",500 ml,$0.8400
STFP-004-709-2021,,709,ELOSULFASA,LÍQUIDO PARENTERAL,LPA-02,5 mg/5 ml (1 mg/ml),-,$635.8696
Resolución 10 (Anexo A),699,,ELTROMBOPAG,SÓLIDO ORAL,SOR-01,25 mg,-,$26.5800
Resolución 10 (Anexo A),700,,ELTROMBOPAG,SÓLIDO ORAL,SOR-01,50 mg,-,$49.1100
STFP-005-698-2021,,698,EMICIZUMAB,LÍQUIDO PARENTERAL,LPA-02,150 mg/ml,-,"$8,562.2535"
STFP-005-698-2021,,698,EMICIZUMAB,LÍQUIDO PARENTERAL,LPA-02,"105 mg/0,7 ml",-,"$5,993.5775"
STFP-005-698-2021,,698,EMICIZUMAB,LÍQUIDO PARENTERAL,LPA-02,"60 mg/0,4 ml",-,"$3,424.9014"
STFP-006-698-2021,,698,EMICIZUMAB,LÍQUIDO PARENTERAL,LPA-02,30 mg/ml,-,"$2,165.9243"
Medicamentos nuevos Consolidados,30,639,EMPAGLIFLOZINA,SÓLIDO ORAL,SOR-01,10 mg  ,-,$1.6000
Medicamentos nuevos Consolidados,31,639,EMPAGLIFLOZINA,SÓLIDO ORAL,SOR-01,25 mg ,-,$1.7000
Medicamentos nuevos Consolidados,33,657,EMPAGLIFLOZINA +  METFORMINA,SÓLIDO ORAL,SOR-01,5 mg + 1000 mg,-,$0.9500
Medicamentos nuevos Consolidados,32,657,EMPAGLIFLOZINA + METFORMINA,SÓLIDO ORAL,SOR-01,5 mg + 850 mg,-,$0.8400
Medicamentos nuevos Consolidados,34,657,EMPAGLIFLOZINA + METFORMINA,SÓLIDO ORAL,SOR-01,"12,5 mg + 850 mg",-,$1.1400
Medicamentos nuevos Consolidados,35,657,EMPAGLIFLOZINA + METFORMINA,SÓLIDO ORAL,SOR-01,"12,5 mg + 1000 mg",-,$1.1400
Resolución 10 (Anexo A),701,,EMULSIONES GRASAS (LIPIDOS),LÍQUIDO PARENTERAL,LPA-02,10%,-,$0.0383
Resolución 10 (Anexo A),702,,EMULSIONES GRASAS (LIPIDOS),LÍQUIDO PARENTERAL,LPA-02,20%, -,$0.0456
Resolución 10 (Anexo A),704,,ENALAPRIL,SÓLIDO ORAL,SOR-01,"2,5 mg",-,$0.0700
Resolución 10 (Anexo A),705,,ENALAPRIL,SÓLIDO ORAL,SOR-01,10 mg,-,$0.1800
Resolución 10 (Anexo A),706,,ENALAPRIL,SÓLIDO ORAL,SOR-01,20 mg,-,$0.1500
Resolución 10 (Anexo A),707,,ENALAPRIL,SÓLIDO ORAL,SOR-01,5 mg,-,$0.1500
Resolución 10 (Anexo A),703,,ENALAPRIL,LÍQUIDO PARENTERAL,LPA-02,"1,25 mg / mL",-,$10.0600
Resolución 10 (Anexo A),708,,ENALAPRIL + HIDROCLOROTIAZIDA,SÓLIDO ORAL,SOR-01,"20 mg + 12,5 mg",-,$0.5200
Resolución 10 (Anexo A),709,,ENALAPRIL + HIDROCLOROTIAZIDA,SÓLIDO ORAL,SOR-01,10 mg + 25 mg,-,$0.3300
STFP-005-736-2023,,736,ENCORAFENIB,SÓLIDO ORAL,SOR-01,75 mg,-,$35.1700
Resolución 10 (Anexo A),710,,ENFLURANO,LÍQUIDO PARA INHALACIÓN,LNA-02,0.74%,240 ml,$129.3300
Resolución 10 (Anexo A),711,,ENFLURANO,LÍQUIDO PARA INHALACIÓN,LNA-02,0.74%,250 ml,$142.9500
STFP-002-752-2024,,752,ENFORTUMAB VEDOTINA,SÓLIDO PARENTERAL,SPA-04,10 mg/ml (reconstituido),-,$262.0953
Resolución 10 (Anexo A),714,,ENOXAPARINA,LÍQUIDO PARENTERAL,LPA-02,2000 UI (20 mg),JERINGA PRELLENADA,$7.0000
Resolución 10 (Anexo A),715,,ENOXAPARINA,LÍQUIDO PARENTERAL,LPA-02,4000 UI (40 mg),JERINGA PRELLENADA,$9.6100
Resolución 10 (Anexo A),716,,ENOXAPARINA,LÍQUIDO PARENTERAL,LPA-02,6000 UI (60 mg),JERINGA PRELLENADA,$11.2000
Resolución 10 (Anexo A),717,,ENOXAPARINA,LÍQUIDO PARENTERAL,LPA-02,8000 UI (80 mg),JERINGA PRELLENADA,$14.6900
Resolución 10 (Anexo A),718,,ENTACAPONA,SÓLIDO ORAL,SOR-01,200 mg,-,$0.8300
STFP-001-699-2021,,699,ENTRECTINIB,SÓLIDO ORAL,SOR-01,100 mg,-,$33.1550
STFP-002-699-2021,,699,ENTRECTINIB,SÓLIDO ORAL,SOR-01,200 mg,-,$64.2919
Medicamentos nuevos Consolidados,36,639,ENZALUTAMIDA,SÓLIDO ORAL,SOR-01,40 mg ,-,$46.1600
Resolución 10 (Anexo A),720,,EPINEFRINA,LÍQUIDO PARENTERAL,LPA-02,1 mg / ml,-,$0.5600
Resolución 10 (Anexo A),721,,EPINEFRINA (ADRENALINA) RACEMICA,LÍQUIDO PARA INHALACIÓN,LNA-02,"22,5 mg / mL (2,25 %)","0,5 ml",$4.9600
Resolución 10 (Anexo A),722,,EPIRUBICINA,SÓLIDO PARENTERAL,SPA-04,10 mg,-,$49.2200
Resolución 10 (Anexo A),723,,EPIRUBICINA,SÓLIDO PARENTERAL,SPA-04,50 mg,-,$182.6600
Resolución 10 (Anexo A),724,,EPIRUBICINA,LÍQUIDO PARENTERAL,LPA-02,10 mg,-,$49.2200
Resolución 10 (Anexo A),725,,EPIRUBICINA,LÍQUIDO PARENTERAL,LPA-02,50 mg,-,$182.6600
Resolución 10 (Anexo A),726,,EPIRUBICINA,LÍQUIDO PARENTERAL,LPA-02,150 mg,-,$643.1600
Resolución 10 (Anexo A),727,,EPIRUBICINA,LÍQUIDO PARENTERAL,LPA-02,200 mg,-,$856.5700
Resolución 10 (Anexo A),728,,EPOETINA BETA,LÍQUIDO PARENTERAL,LPA-02,5000 UI,-,$134.7600
Resolución 10 (Anexo A),729,,EPOETINA BETA,LÍQUIDO PARENTERAL,LPA-02,"2000 UI /0,3ml",-,$22.4642
Resolución 10 (Anexo A),730,,EPOETINA BETA,LÍQUIDO PARENTERAL,LPA-02,"30 000 UI/0,6ml",-,$808.5600
STFP-04-685-2018,,685,EPOPROSTENOL (PROSTACICLINA),SÓLIDO PARENTERAL,SPA-04,"1,5 mg", -,$10.8929
STFP-05-685-2018,,685,EPOPROSTENOL (PROSTACICLINA),SÓLIDO PARENTERAL,SPA-04,"0,5 mg", -,$5.0705
Resolución 10 (Anexo A),731,,EPROSARTAN,SÓLIDO ORAL,SOR-01,600 mg,-,$1.3700
Resolución 10 (Anexo A),732,,EPTACOG ALFA,SÓLIDO PARENTERAL,SPA-04,1 mg,-,"$1,050.6100"
Resolución 10 (Anexo A),733,,EPTACOG ALFA,SÓLIDO PARENTERAL,SPA-04,2 mg,-,"$2,103.2700"
Resolución 10 (Anexo A),734,,EPTACOG ALFA,SÓLIDO PARENTERAL,SPA-04,5 mg,-,"$6,288.6800"
Medicamentos nuevos Consolidados,37,627,EPTACOG ALFA (ACTIVADO),SÓLIDO PARENTERAL,SPA-04,1 mg, -,"$1,050.6100"
Medicamentos nuevos Consolidados,38,627,EPTACOG ALFA (ACTIVADO),SÓLIDO PARENTERAL,SPA-04,2 mg , -,"$2,103.2700"
Medicamentos nuevos Consolidados,39,627,EPTACOG ALFA (ACTIVADO),SÓLIDO PARENTERAL,SPA-04,5 mg , -,"$6,288.6800"
Resolución 10 (Anexo A),735,,ERGOMETRINA,LÍQUIDO PARENTERAL,LPA-02,"0,2 mg / mL",-,$0.6900
STFP-006-709-2021,,709,ERIBULINA,LÍQUIDO PARENTERAL,LPA-02,"0,44 mg/ml",-,$251.7082
Resolución 10 (Anexo A),737,,ERITROMICINA,SÓLIDO ORAL,SOR-06,200 mg/5 ml,-,$0.2680
Resolución 10 (Anexo A),740,,ERITROMICINA,SÓLIDO ORAL,SOR-06,250 mg/5 ml,-,$0.2835
Resolución 10 (Anexo A),741,,ERITROMICINA,SÓLIDO ORAL,SOR-06,400 mg/5 ml,-,$0.5483
Resolución 10 (Anexo A),742,,ERITROMICINA,SÓLIDO ORAL,SOR-01,500 mg,-,$0.2700
Resolución 10 (Anexo A),744,,ERITROPOYETINA,LÍQUIDO PARENTERAL,LPA-02,"4000 UI/0,4ml

(10.000 UI/ml)",-,$18.3900
Resolución 10 (Anexo A),745,,ERITROPOYETINA,LÍQUIDO PARENTERAL,LPA-02,2 000 UI/ml,-,$21.7800
Resolución 10 (Anexo A),747,,ERITROPOYETINA,LÍQUIDO PARENTERAL,LPA-02,"(2000 UI/0,5ml) 4 000 UI/ml",-,$9.2600
Resolución 10 (Anexo A),749,,ERITROPOYETINA,LÍQUIDO PARENTERAL,LPA-02,5 000 UI,-,$138.5400
Resolución 10 (Anexo A),750,,ERITROPOYETINA,LÍQUIDO PARENTERAL,LPA-02,5 000 UI,JERINGA PRELLENADA,$134.7600
STFP-003-742-2024,,742,ERITROPOYETINA,SÓLIDO PARENTERAL,SPA-04,2000 UI,-,$5.4500
Resolución 10 (Anexo A),751,,ERLOTINIB,SÓLIDO ORAL,SOR-01,100 mg,-,$78.3700
Resolución 10 (Anexo A),752,,ERLOTINIB,SÓLIDO ORAL,SOR-01,150 mg,-,$95.7800
Resolución 10 (Anexo A),753,,ERLOTINIB,SÓLIDO ORAL,SOR-01,25 mg,-,$24.0300
Resolución 10 (Anexo A),754,,ERTAPENEM,SÓLIDO PARENTERAL,SPA-04,1 g,-,$78.9600
Resolución 10 (Anexo A),755,,ESCITALOPRAM,SÓLIDO ORAL,TABLETA RECUBIERTA,10 mg,-,$1.2400
Resolución 10 (Anexo A),756,,ESCITALOPRAM,SÓLIDO ORAL,TABLETA RECUBIERTA,20 mg,-,$2.3500
STFP-005-739-2024,,739,ESMOLOL,LÍQUIDO PARENTERAL,LPA-02,10 mg/ml,-,$2.6351
Resolución 10 (Anexo A),762,,ESPIRAMICINA,SÓLIDO ORAL,SOR-01,3 000 000 UI,-,$1.2500
Resolución 10 (Anexo A),764,,ESPIRONOLACTONA,SÓLIDO ORAL,SOR-01,100 mg,-,$0.7300
Resolución 10 (Anexo A),765,,ESPIRONOLACTONA,SÓLIDO ORAL,SOR-01,25 mg,-,$0.3200
Resolución 10 (Anexo A),766,,ESTAVUDINA,SÓLIDO ORAL,SOR-01,30 mg,-,$2.2900
Resolución 10 (Anexo A),767,,ESTAVUDINA,SÓLIDO ORAL,SOR-01,40 mg,-,$0.2500
Resolución 10 (Anexo A),768,,ESTRADIOL,SÓLIDO ORAL,SOR-01,1 mg,-,$0.3100
STFP-07-685-2018,,685,ESTRADIOL,SÓLIDO SUBCUTÁNEO,SCU-01,"3,8 mg (equivalente a Estradiol hemihidratado 3,9 mg)", -,$2.9650
Resolución 10 (Anexo A),773,,ESTREPTOMICINA,SÓLIDO PARENTERAL,SPA-04,1 g,-,$1.8800
Resolución 10 (Anexo A),774,,ESTREPTOQUINASA,SÓLIDO PARENTERAL,SPA-04,1 500 000 UI,100 ml,$384.2800
Resolución 10 (Anexo A),775,,ESTRIOL,SEMISÓLIDO VAGINAL ,SSV-01,0.001,-,$0.4447
Resolución 10 (Anexo A),782,,ETAMBUTOL,SÓLIDO ORAL,SOR-01,400 mg,-,$0.0600
Resolución 10 (Anexo A),785,,ETANERCEPT,SÓLIDO PARENTERAL,SPA-04,25 mg,-,$195.8500
Resolución 10 (Anexo A),786,,ETANERCEPT,LÍQUIDO PARENTERAL,LPA-02,50 mg / mL,-,$550.9900
Resolución 10 (Anexo A),790,,ETIONAMIDA,SÓLIDO ORAL,SOR-01,250 mg,-,$0.6700
Resolución 10 (Anexo A),791,,ETOFIBRATO,SÓLIDO ORAL,SOR-01,500 mg,-,$0.7600
Anticonceptivo,13,671,ETONOGESTREL ,SÓLIDO SUBCUTÁNEO,IMPLANTE ANTICONCEPTIVO,68 mg,Implante, $60.5500 
Resolución 10 (Anexo A),794,,ETOPOSIDO,LÍQUIDO PARENTERAL,LPA-02,20 mg / mL,-,$3.0440
Resolución 10 (Anexo A),795,,ETORICOXIB,SÓLIDO ORAL,SOR-01,120 mg,-,$2.7200
Resolución 10 (Anexo A),796,,ETORICOXIB,SÓLIDO ORAL,SOR-01,60 mg,-,$1.7100
Resolución 10 (Anexo A),797,,ETORICOXIB,SÓLIDO ORAL,SOR-01,90 mg,-,$1.8100
Resolución 10 (Anexo A),798,,ETRAVIRINA,SÓLIDO ORAL,SOR-01,100 mg,-,$5.8900
Resolución 10 (Anexo A),799,,EVEROLIMUS,SÓLIDO ORAL,SOR-01,"0,5 mg",-,$4.6900
Resolución 10 (Anexo A),800,,EVEROLIMUS,SÓLIDO ORAL,SOR-01,"0,75 mg",-,$6.2900
STFP-018-708-2021,,708,EVEROLIMUS,SÓLIDO ORAL,SOR-01,10 mg,-,$75.1174
STFP-001-718-2022,,718,EVOGLIPTINA,SÓLIDO ORAL,SOR-01,5 mg,-,$1.5700
STFP-008-712-2022,,712,EVOLOCUMAB,LÍQUIDO PARENTERAL,LPA-02,140 mg/ml,-,$261.5029
Resolución 10 (Anexo A),801,,EXEMESTANO,SÓLIDO ORAL,SOR-01,25 mg,-,$4.6800
Medicamentos nuevos Consolidados,41,657,EXENATIDA,SÓLIDO PARENTERAL,SUSPENSIÓN INYECTABLE DE LIBERACIÓN PROLONGADA,2 mg, -,$92.1700
Resolución 10 (Anexo A),802,,EXENATIDA,LÍQUIDO PARENTERAL,LPA-02,5 mcg,JERINGA PRELLENADA,$248.3100
Resolución 10 (Anexo A),803,,EZETIMIBA,SÓLIDO ORAL,SOR-01,10 mg,-,$1.4900
Resolución 16-2017,70,672,EZETIMIBA + ATORVASTATINA ,SÓLIDO ORAL,SOR-01,10 mg + 10 mg,-,$1.4400
STFP-08-683-2018,,683,EZETIMIBA + ATORVASTATINA ,SÓLIDO ORAL,SOR-01,10 mg + 20 mg,-,$2.0600
STFP-01-693-2020,,693,EZETIMIBA + ROSUVASTATINA, SÓLIDO ORAL , SOR-01 , 10 mg + 10 mg ,-,$2.0600
STFP-001-739-2024,,739,EZETIMIBE + ROSUVASTATINA,SÓLIDO ORAL,SOR-01,10 mg + 40 mg,-,$2.1400
Medicamentos nuevos Consolidados,42,650,FACTOR II DE LA COAGULACION + FACTOR VII DE LA COAGULACION + FACTOR IX DE LA COAGULACION + FACTOR X DE LA COAGULACION + PROTEINA C + PROTEINA S ,SÓLIDO PARENTERAL,SPA-04,"Factor II (280 -760 UI),  VII (180 - 480 UI), IX (500 UI),  X (360 - 600 UI),  proteína C (260 - 620 UI) y  proteína S (240 - 640 UI)", -,$589.7900
Resolución 10 (Anexo A),804,,FACTOR IX,SÓLIDO PARENTERAL,SPA-04,250 UI,5 ml,$606.7800
Resolución 10 (Anexo A),805,,FACTOR IX,SÓLIDO PARENTERAL,SPA-04,600 UI,5 ml,$393.3100
STFP-001-749-2024,,749,FACTOR IX DE COAGULACION HUMANA,SÓLIDO PARENTERAL,SPA-04,500 UI,-,$187.0400
STFP-002-768-2025,,768,FACTOR VIII  rDNA RECOMBINANTE HUMANO,SÓLIDO PARENTERAL,SPA-04,2000 UI,-,"$2,257.1048"
STFP-001-746-2024,,746,FACTOR VIII DE COAGULACION HUMANA/FACTOR VON WILLEBRAND HUMANO,SÓLIDO PARENTERAL,SPA-04,1000 UI/1000 UI,-,$631.2436
STFP-002-746-2024,,746,FACTOR VIII DE COAGULACION HUMANA/FACTOR VON WILLEBRAND HUMANO,SÓLIDO PARENTERAL,SPA-04,500 UI/500 UI,-,$328.3416
Resolución 10 (Anexo A),806,,FACTOR VIII DE COAGULACION RECOMBINANTE/PLASMÁTICO,SÓLIDO PARENTERAL,SPA-04,1 000 UI,-,"$1,613.2600"
Resolución 10 (Anexo A),807,,FACTOR VIII DE COAGULACION RECOMBINANTE/PLASMÁTICO,SÓLIDO PARENTERAL,SPA-04,250 UI,-,$378.9200
Resolución 10 (Anexo A),810,,FACTOR VIII DE COAGULACION RECOMBINANTE/PLASMÁTICO,SÓLIDO PARENTERAL,SPA-04,500 UI,-,$871.1700
STFP-003-727-2023,,727,FARICIMAB,LÍQUIDO OFTÁLMICO,SOLUCIÓN PARA INYECCIÓN INTRAVÍTREA,"6 mg/0,05 ml
(120 mg/ml)",-,$781.3621
Resolución 10 (Anexo A),816,,FELODIPINO,SÓLIDO ORAL,SOR-02,10 mg,-,$1.2900
Resolución 10 (Anexo A),817,,FELODIPINO,SÓLIDO ORAL,SOR-02,5 mg,-,$0.7200
Resolución 10 (Anexo A),819,,FENITOINA,SÓLIDO ORAL,SOR-02,100 mg,-,$0.0800
Resolución 10 (Anexo A),820,,FENITOINA,LÍQUIDO ORAL,LOR-01,125 mg/5 ml,-,$0.1535
Resolución 10 (Anexo A),821,,FENITOINA,LÍQUIDO PARENTERAL,LPA-02,50 mg / mL,-,$0.2040
Resolución 10 (Anexo A),822,,FENOBARBITAL,LÍQUIDO PARENTERAL,LPA-02,60 mg / mL,2 ml,$0.2550
Resolución 10 (Anexo A),823,,FENOFIBRATO,SÓLIDO ORAL,SOR-01,200 mg,-,$0.7000
STFP-01-693-2020,,693,FENOFIBRATO, SÓLIDO ORAL , SOR-01 , 160 mg ,-,$0.6404
Medicamentos nuevos Consolidados,44,656,FENOFIBRATO + SIMVASTATINA ,SÓLIDO ORAL,SOR-01,"145 mg + 
40 mg",-,$1.2000
Medicamentos nuevos Consolidados,45,656,FENOFIBRATO + SIMVASTATINA ,SÓLIDO ORAL,SOR-01,145 mg + 20 mg,-,$1.1500
Medicamentos nuevos Consolidados,43,655,FENOFIBRATO DE COLINA,SÓLIDO ORAL,SOR-02,135 mg,-,$0.9000
Resolución 10 (Anexo A),824,,FENOTEROL,LÍQUIDO PARENTERAL,LPA-02,5 mg,-,$5.1800
Resolución 10 (Anexo A),825,,FENTANILO,LÍQUIDO PARENTERAL,LPA-02,"0,05 mg/ml",-,$0.2717
STFP-010-710-2022,,710,FENTANILO,SÓLIDO CUTÁNEO,SCU-01,"4,2 mg (25 mcg/hora)",-,$22.4369
Resolución 10 (Anexo A),829,,FERROSO SULFATO,LÍQUIDO ORAL,LOR-01,25 mg/5 mL (equivalente a hierro elemental),-,$0.5250
Resolución 10 (Anexo A),831,,FERROSO SULFATO,LÍQUIDO ORAL,LOR-01,50 mg/5 mL (equivalente a hierro elemental),-,$0.6875
Resolución 10 (Anexo A),832,,FERROSO SULFATO EQUIVALENTE A HIERRO ELEMENTAL,SÓLIDO ORAL,SOR-01,100 mg,-,$0.0300
STFP-001-720-2022,,720,FIBRINÓGENO HUMANO, SÓLIDO PARENTERAL ,SPA-04,1 g,-,$575.1259
Resolución 10 (Anexo A),835,,FILGRASTIM,LÍQUIDO PARENTERAL,LPA-02,300 mcg,-,$41.3300
Resolución 10 (Anexo A),836,,FILGRASTIM,LÍQUIDO PARENTERAL,LPA-02,300 mcg,JERINGA PRELLENADA,$118.3500
Resolución 10 (Anexo A),837,,FILGRASTIM,LÍQUIDO PARENTERAL,LPA-02,150 mcg,JERINGA PRELLENADA,$109.4500
Medicamentos nuevos Consolidados,46,657,FIMASARTAN ,SÓLIDO ORAL,SOR-01,60 mg,-,$0.9200
STFP-001-725-2023,,725,FINERENONA,SÓLIDO ORAL,SOR-01,10 mg,-,$2.4150
STFP-002-725-2023,,725,FINERENONA,SÓLIDO ORAL,SOR-01,20 mg,-,$2.4150
Resolución 10 (Anexo A),839,,FINGOLIMOD,SÓLIDO ORAL,SOR-01,"0,5 mg",-,$129.8300
Resolución 10 (Anexo A),840,,FITOMENADIONA,LÍQUIDO PARENTERAL,LPA-02,10 mg/mL,-,$1.4800
Resolución 10 (Anexo A),845,,FLUCONAZOL,SÓLIDO ORAL,SOR-01,150 mg,-,$1.1000
Resolución 10 (Anexo A),849,,FLUCONAZOL,LÍQUIDO PARENTERAL,LPA-02,2 mg/ml,-,$0.1126
Resolución 10 (Anexo A),854,,FLUDARABINA,SÓLIDO PARENTERAL,SPA-04,50 mg,-,$232.4900
STFP-005-744-2024,,744,FLUDROCORTISONA,SÓLIDO ORAL,SOR-01,"0,1 mg",-,$0.8545
Resolución 10 (Anexo A),855,,FLUMAZENIL,LÍQUIDO PARENTERAL,LPA-02,"0,1 mg / mL",-,$28.4900
Resolución 10 (Anexo A),856,,FLUOCINONIDA,SEMISÓLIDO CUTÁNEO,SSC-01,0.05%,-,$0.2207
Resolución 10 (Anexo A),857,,FLUOROMETOLONA,LÍQUIDO OFTÁLMICO,LOF-01,0.10%,-,$1.1880
Resolución 10 (Anexo A),858,,FLUORURACILO,SEMISÓLIDO CUTÁNEO,SSC-01,5%,-,$0.7210
Resolución 10 (Anexo A),859,,FLUORURACILO,LÍQUIDO PARENTERAL,LPA-02,250 mg,-,$1.0400
Resolución 10 (Anexo A),860,,FLUORURACILO,LÍQUIDO PARENTERAL,LPA-02,500 mg,-,$5.9600
Resolución 10 (Anexo A),863,,FLUOXETINA,SÓLIDO ORAL,SOR-01,20 mg,-,$0.3100
Resolución 10 (Anexo A),865,,FLUTAMIDA,SÓLIDO ORAL,SOR-01,250 mg,-,$1.2300
Resolución 10 (Anexo A),867,,FLUTICASONA,LÍQUIDO PARA INHALACIÓN,LNA-02,250 mcg/DOSIS,120 dosis,$33.7400
Resolución 10 (Anexo A),869,,FLUTICASONA,LÍQUIDO PARA INHALACIÓN,LNA-02,50 mcg/DOSIS,120 dosis,$13.2500
Resolución 10 (Anexo A),870,,FLUTICASONA,LÍQUIDO PARA INHALACIÓN,LNA-02,125 mcg/DOSIS,120 dosis,$33.6600
Resolución 10 (Anexo A),866,,FLUTICASONA,LÍQUIDO PARA INHALACIÓN,LNA-02,250 mcg/DOSIS,60 dosis,$23.2900
Resolución 10 (Anexo A),868,,FLUTICASONA,LÍQUIDO PARA INHALACIÓN,LNA-02,50 mcg/DOSIS,60 dosis,$12.6000
STFP-01-693-2020,,693,FLUTICASONA + SALMETEROL, LÍQUIDO PARA INHALACIÓN , LOR-04 , (250 mcg + 25 mcg)/DOSIS ,  - ,$0.2332
STFP-01-693-2020,,693,FLUTICASONA + SALMETEROL, LÍQUIDO PARA INHALACIÓN , LOR-04 , (125 mcg + 25 mcg) /DOSIS ,  - ,$0.2080
Resolución 10 (Anexo A),875,,FOLINATO CALCICO (LEUCOVORINA),SÓLIDO ORAL,SOR-01,15 mg,-,$1.8800
Resolución 10 (Anexo A),874,,FOLINATO CALCICO (LEUCOVORINA),SÓLIDO PARENTERAL / LÍQUIDO PARENTERAL,SPA-04/LPA-02,10 mg/mL,10 ml,$4.4600
Resolución 10 (Anexo A),873,,FOLINATO CALCICO (LEUCOVORINA),SÓLIDO PARENTERAL / LÍQUIDO PARENTERAL,SPA-04/LPA-02,10 mg/mL,5 ml,$3.0900
Resolución 10 (Anexo A),879,,FONDAPARINUX,LÍQUIDO PARENTERAL,LPA-02,"2,5 mg/0,5 ml",-,$16.0000
Resolución 10 (Anexo A),880,,FONDAPARINUX,LÍQUIDO PARENTERAL,LPA-02,5 mg,"0,4 ml",$29.9900
STFP-009-727-2023,,727,FORMOTEROL + BUDESONIDA,LÍQUIDO ORAL,LOR-04,"(4,5 mcg + 160 mcg)/dosis",-,$0.2028
STFP-002-733-2023,,733,FORMOTEROL + BUDESONIDA,SÓLIDO ORAL,SOR-08,(9 ug + 320 ug)/dosis,-,$0.3844
STFP-002-765-2025,,765,FORMOTEROL + BUDESONIDA,SÓLIDO ORAL,SOR-08,(6 mcg + 200 mcg)/dosis,-,$0.5178
STFP-003-765-2025,,765,FORMOTEROL + BUDESONIDA,LÍQUIDO ORAL,LOR-04 ,"(4,5 mcg + 80 mcg)/dosis",-,$0.2025
Resolución 10 (Anexo A),881,,FORMULAS PARA NUTRICION ENTERAL,SÓLIDO ORAL,SOR-06,ND,-,$0.0300
Resolución 10 (Anexo A),898,,FORMULAS PARA NUTRICION ENTERAL,LÍQUIDO ORAL,LOR-01,ND,1000 ml,$7.8400
Resolución 10 (Anexo A),896,,FORMULAS PARA NUTRICION ENTERAL,LÍQUIDO ORAL,LOR-01,ND,120 ml,$1.4900
Resolución 10 (Anexo A),897,,FORMULAS PARA NUTRICION ENTERAL,LÍQUIDO ORAL,LOR-01,ND,237 ml,$2.2400
Resolución 10 (Anexo A),899,,FOSFOLIPIDOS NATURALES (SURFACTANTE PULMONAR),LÍQUIDO PARENTERAL,LPA-04,25 mg / mL,-,$28.6775
Resolución 10 (Anexo A),900,,FOSFOMICINA,SÓLIDO ORAL,SOR-01,500 mg,-,$0.8400
Resolución 10 (Anexo A),902,,FOSFOMICINA,SÓLIDO ORAL,SOR-06,250 mg/5 ml,-,$0.5667
Resolución 10 (Anexo A),901,,FOSFOMICINA,SÓLIDO PARENTERAL,SPA-04,1 g,-,$4.2000
STFP-008-722-2022,,722,FOSFOMICINA,SÓLIDO ORAL,SOR-06,3 g,-,$14.9985
Resolución 10 (Anexo A),903,,FOSINOPRIL,SÓLIDO ORAL,SOR-01,20 mg,-,$2.9400
Medicamentos nuevos Consolidados,85,641,FULVESTRANT,LÍQUIDO PARENTERAL,LPA-02,50 mg/ml, -,$133.6300
